StudyHours,TuitionHours,ParentalEducation,SchoolType,FinalExamScore
10.993428306022466,6.399355436586002,Medium,Public,91.29923038773146
9.723471397657631,5.924633682912769,Low,Public,75.91360822304543
11.295377076201385,5.059630369920174,Medium,Public,69.87670713396345
13.046059712816051,4.353063222294426,Low,Public,85.51675275982006
9.531693250553328,5.69822331361359,Low,Public,84.56054181454806
9.531726086101639,5.39348538542175,Low,Public,75.63488134273703
13.158425631014783,5.895193220027732,Medium,Private,81.63445369137285
11.534869458305817,5.635171801681969,High,Private,79.3361995922461
9.061051228130095,6.049552715319335,High,Private,81.44745836489537
11.08512008717193,4.464764788439432,Medium,Public,76.5950826505781
9.073164614375075,6.317394065634326,High,Private,79.26622182891586
9.068540492859487,5.1975996046924,High,Public,76.07249497145726
10.48392454313207,7.0752608726252655,Low,Public,81.20384233308822
6.173439510684404,4.310812181910432,Low,Public,72.31955892799562
6.5501643349739345,6.73596380316525,Medium,Public,70.81137487537477
8.875424941518055,5.197910783462648,Medium,Private,73.39478325731868
7.974337759331153,4.348581996385551,High,Public,76.45956276323939
10.628494665190548,4.5161141659456785,Low,Private,73.09653395845635
8.183951848957578,4.67965269180568,Medium,Public,68.98628178151203
7.175392597329417,5.424165946401916,Medium,Private,66.18546265754375
12.931297537843108,5.5228354880355,Medium,Private,88.39190287412222
9.548447399026928,4.426299996061421,Medium,Private,75.21015995173964
10.135056409375848,4.975645407739017,Medium,Private,71.16550519996488
7.150503627573086,7.142270358611864,Medium,Private,79.28345560460932
8.911234550949635,6.727543170100711,High,Private,75.13607304917315
10.221845179419732,5.4363236696740325,Low,Public,74.23978546916608
7.698012845155395,5.0380034781682,Low,Private,71.97463811317833
10.751396036691343,5.120031326718261,Medium,Public,86.57645711079954
8.79872262016239,5.613517972730417,Low,Private,74.04291121693757
9.416612500413446,3.9772074348015947,Low,Public,77.67573047360722
8.796586775541206,4.742623462576655,Low,Private,78.34250884720215
13.704556369017876,3.3314159261224106,Medium,Private,84.6226031172514
9.973005550524132,5.399223122605279,Medium,Public,84.4002040333275
7.884578142088199,5.647195939702741,Low,Private,70.70437017056912
11.645089824206378,4.516813537700626,Low,Private,74.84872573971201
7.5583127000579555,6.573986763290033,Medium,Private,69.66277226492598
10.417727190009511,3.774234336997659,High,Public,75.77446380901655
6.080659752240448,3.53562511979018,Low,Private,62.72952389496353
7.3436279022031385,5.224451818559972,High,Public,73.26163809157288
10.393722471738247,6.047098302612154,Low,Private,80.24303449601918
11.476933159990821,6.6839276914578685,High,Private,88.07262437309865
10.34273656237994,4.54111573713106,High,Public,78.95286827163666
9.76870343522352,6.078680833431296,High,Private,76.57466884128674
9.397792608821423,4.961491530499293,Medium,Private,78.29206853555519
7.042956019265145,4.82737270005918,High,Public,66.17600098912936
8.560311583210582,5.883659937486672,High,Private,75.75540963252959
9.078722458080424,5.65232287841342,High,Public,78.23293540175888
12.11424445243783,3.4236078430157506,Low,Public,80.01048866014992
10.687236579136922,6.476540349725896,High,Public,83.1646091575426
6.473919689274532,6.380091354147451,Low,Private,69.29774633120628
10.648167938789591,4.374437298490471,High,Public,83.61814883936246
9.229835439167367,5.395803533437409,High,Public,85.66422092546938
8.646155999388082,5.494030186282739,Medium,Private,67.51997655390731
11.223352577681736,5.260673765823907,Low,Public,74.25972582432809
12.061999044991902,4.44969484615458,High,Private,81.01395539933759
11.862560238232398,4.328376632061948,Low,Private,78.93493052179335
8.321564953554724,4.974445929008555,Low,Private,83.5868608294862
9.38157524829757,6.172729019259364,Medium,Private,79.12116564260648
10.662526862807129,5.543600154594432,Medium,Public,86.60318022613569
11.951090254244718,4.629385667913894,Medium,Public,70.60063957809228
9.04165152430942,5.771698710648344,Medium,Public,80.81169853125313
9.628682046672365,2.1514573793699245,Medium,Public,68.90696606610801
7.787330051987944,6.1487657003721035,Medium,Public,71.14009580643575
7.607586751838658,3.2602862212219,Medium,Private,68.86381270344955
11.625051644788396,4.637559058596868,Medium,Public,73.08352367881665
12.712480057141645,3.880330105373856,High,Public,83.45938289895334
9.855979756839332,3.705318524279094,Low,Public,76.22351213368128
12.007065795784047,6.16082678737852,Medium,Private,84.58633301357222
10.723272050095268,4.5322987986881085,Medium,Private,82.68014740888722
8.709760490789751,5.346503881730715,Low,Public,83.01318703514633
10.722791211016828,4.953079421120816,High,Private,77.05664630827714
13.076073132931938,5.477040827223122,Low,Public,86.75446070538094
9.928347921780096,5.076821891060256,Low,Public,78.93686972182546
13.129287311628012,3.7170077758114304,Medium,Private,83.72215881861787
4.760509791820511,5.99626681944714,Low,Private,70.47840813514165
11.643805008750448,4.506243416838688,Low,Public,87.99949186558312
10.174094136476343,3.443418101340249,Medium,Public,73.21493108251659
9.401985299068265,4.571884839034087,Medium,Private,68.03311834066925
10.183521553071005,6.50075979063431,Medium,Public,76.62881394901405
6.024862170798214,5.850221742113493,Medium,Private,74.61139162244369
9.560656224324976,4.6513478655921405,Low,Public,76.21498179027404
10.714225143023492,4.650742295681571,Low,Private,76.06656702709435
12.955788089483033,4.678364948782617,High,Public,77.54663726009179
8.963459563452705,7.076747983560841,High,Public,79.64847171089932
8.383012794213625,5.381935452231553,Low,Private,78.06146014314363
8.996485912830927,5.43004164719107,High,Public,77.66739457192861
11.830804235404148,6.030283454031842,Low,Public,81.44038199608131
10.657502219319369,5.238789159026513,High,Private,79.90639459866581
8.940479592465923,4.740957854179297,Medium,Public,75.69661079898786
11.026534866226712,4.803650150915022,High,Public,80.20702961491426
10.194155098696081,4.928398740585936,Medium,Public,71.85938355317546
11.937289981065778,4.962777763490158,Medium,Private,82.30537836044118
8.595893812245295,5.72762954363698,Medium,Private,73.5802495976151
9.344675706804464,5.051945885807299,Medium,Private,81.47036327236867
9.215783693735684,5.73264007721558,High,Public,77.69512071204612
7.072970103735763,4.919283419891418,Low,Public,75.70226144642311
10.592240554129152,5.07863519031609,Medium,Public,77.29352695848367
10.522110544359778,3.0017993154678924,High,Public,74.21835087386411
10.010226913284923,5.916327674702481,Medium,Private,86.36620156990523
9.530825733249706,5.346488475897993,High,Public,79.26306012242395
7.1692585158991715,5.998010109859652,High,Public,69.76295953455913
9.158709354469282,2.1037446218063107,High,Public,75.9579078347504
9.31457096694646,7.088374704780728,Low,Private,76.59518032392467
8.395445461556761,4.860410371844826,High,Public,75.20999716993838
9.677428576667982,6.108182816737516,High,Public,87.70050453273926
10.808101713629076,3.960094072874469,Low,Public,70.39993259837959
13.77237180242106,5.61277390506257,Low,Public,85.08499485360329
10.349155625663679,3.9465844368263436,High,Public,78.65954611107702
10.515100781445529,4.376231039304195,Low,Private,81.41803979517071
9.851108168467665,6.914031353866786,Medium,Public,73.86709383093114
6.1624575694019175,4.809317599236653,Medium,Public,61.859940194783725
9.946972249101567,5.217432873179723,Low,Public,83.17384056792484
10.120460419882052,5.8700677306887545,Low,Public,75.44394815177805
14.926484224970572,5.495681887972605,High,Public,84.28507874191348
9.615278070437755,5.150418905143576,Low,Public,84.70743286245171
10.603094684667225,5.3649610024662255,High,Public,79.6021424466929
9.930576460589513,7.403415585238275,Medium,Public,81.34746743744431
7.6626439247609355,4.9423812029664145,Low,Public,71.83986242821382
12.285645629030041,5.201099046714967,High,Public,76.25302949441668
11.503866065373549,6.050654396007612,High,Private,85.46219847173046
11.582063894086094,6.105525932957984,Medium,Private,84.36966929723727
8.181225090410521,6.187030305560381,Low,Private,76.48645226585877
12.805588621872198,5.638730222029185,Medium,Private,83.48765738040687
7.196297874415438,3.8569950872695165,High,Public,68.7164901330437
11.17371418760054,6.6334315323010955,High,Private,86.8599926213898
14.380911251619956,3.853654606981312,Low,Private,83.8358390976814
8.018927349738624,5.3026354652390335,High,Public,73.67150270466635
8.867404540794457,4.245724149980642,Low,Private,76.75286108097875
10.199302730175283,4.935861653407008,Medium,Private,78.84220259386301
8.993048691767601,5.32876241030348,Low,Public,84.19062128669262
6.898673137867735,5.3213572154502735,Low,Public,62.972548211544364
10.137125949612054,5.421920754235285,High,Public,79.90667022241335
7.87539257254779,6.613711269058647,High,Private,72.1433231463227
10.947184861270363,5.453534301513979,Low,Private,75.36423850103705
8.161151531532393,4.755843364709351,High,Public,71.17074707990709
13.09986881003508,5.964087168288358,High,Public,85.4192654149115
8.433493415327526,6.18947048892464,High,Private,76.64653794365906
9.35587696758865,3.7723921848630075,Low,Public,66.78381113407934
11.62703443473934,5.597400069849858,High,Private,78.94474982586438
7.53827136713209,5.701172742310899,Low,Public,75.03440960511283
10.45491986920826,4.702436496640008,High,Public,73.57884222945826
12.614285508564857,6.37570681331162,Medium,Private,79.21821171351456
6.785033530877545,4.849944412967473,High,Public,59.56432214374158
10.36926771706461,5.125576453471543,High,Public,75.11093287245974
10.519765588496847,4.82692817571613,Low,Public,72.53177744581382
11.56364574355462,5.015579047581467,Low,Private,75.73099564293115
7.526098578243836,3.9037249131047984,High,Public,69.5486830097466
7.359086773831447,3.5599491174057056,Medium,Public,67.05895284105696
11.043883131233795,6.594505063224972,High,Public,76.14833438800852
10.593969346466372,4.153038651681673,High,Public,66.83828884428911
10.500985700691754,4.008607650543693,Medium,Public,78.52643940293727
10.692896418993952,2.846609886396285,Low,Public,79.4198437366247
8.639950556843019,4.361038252310498,High,Private,71.8377335971799
10.464507394322007,3.6769102065925017,Low,Private,75.11550161626137
10.586144946597363,6.642015160136369,Low,Public,81.1493652118299
8.571297163947264,6.009817089342635,Medium,Private,84.05123784496975
13.731549022289514,4.311849654822276,Medium,Private,76.09233355768359
10.947665841823575,7.252435805344309,Low,Public,80.70153676230076
7.617393005594703,5.981765486991594,High,Private,65.5975694210132
11.31310721726766,4.675168616491377,Low,Private,81.45055965295018
8.050636659545358,2.500594285126427,High,Private,69.1323727778403
11.574169207484903,7.290942572590742,High,Private,85.0997128385363
12.317191158014808,3.610427533236404,Medium,Private,80.8156364288396
8.358635363296578,3.354601253043108,High,Private,76.7027138746754
11.926752258488644,6.0225704320096405,High,Private,85.57802498783408
10.825561853872996,7.439752406339273,Low,Private,86.96329210555535
11.64412031998898,6.384272818510518,Medium,Public,77.53697641825902
13.793585965307894,5.56390912005236,High,Public,91.89888993557005
9.509223767994259,5.594754341665286,High,Private,73.79876535104144
8.492527671285021,5.853415558780307,Medium,Private,72.44083096762058
8.220971140748954,5.758928589786765,Low,Public,76.43454805294303
8.368379430069123,5.281191423969376,Medium,Private,76.1681373113387
9.845796581171792,5.104201103951876,Medium,Private,71.98861080710901
10.682303949633289,4.937406872100477,High,Public,77.9043217485478
10.553381598660039,4.246035411133324,High,Public,84.91699289836744
11.654366498072047,4.719324923133226,Low,Public,73.04603757317346
10.026003783755813,3.3070431858046145,High,Private,82.43866855128218
12.907068154314633,4.90166037320525,High,Private,81.95813461135468
9.470686333524087,4.011408892849083,Medium,Public,63.26971183914603
15.440338333179238,3.896410682784229,High,Public,79.8916340231203
11.251334695530012,5.179894151153478,Low,Private,75.45512292911428
8.285684887167434,6.392002286344599,Medium,Public,73.03972669993806
7.858215003877776,5.918316606002313,Low,Private,74.07033862363232
10.96494483048637,3.4294993963768228,Medium,Private,63.55673810673012
9.553074429348298,4.010371863429662,High,Public,76.05572861622936
11.428000988184184,5.940771187988216,Medium,Public,76.49170621672627
10.94647524914709,4.017512606461691,Medium,Private,84.87183226599201
9.854342174686254,4.775366850002976,High,Public,75.52085102065709
8.30641256386319,5.550052099024552,High,Public,79.65213413492687
6.970305550628271,4.031655545136365,Low,Public,75.53983931853256
9.106970095865957,5.10537550614596,Low,Public,81.28836966828194
11.712797588646945,3.6659745050817953,High,Private,76.09252322010416
10.428187488260408,4.398632356048786,High,Private,74.55832272198738
7.508522442576024,5.3197819341425365,High,Private,71.87185128992428
10.346361851702364,3.407006266468331,Medium,Private,78.98441998000185
10.770634759457673,5.440474737960399,Medium,Public,77.14850527708512
8.232285127597734,4.980362201073318,Medium,Public,73.3388011888542
10.307450211891055,5.5524899544171475,High,Private,80.31160443710507
10.116417436892,5.223914134064661,Low,Private,73.54424644464166
7.714059404338753,6.364140429973844,High,Public,70.13378801199269
10.715574720696566,5.1252245026479075,Medium,Private,78.32766678834504
11.121569052736469,4.570594458874747,Medium,Private,78.96992386854328
12.166102486350553,5.122297503032284,High,Public,84.18507862725775
12.107604104069805,5.543298029036388,High,Private,85.88958812645198
7.244661264085818,5.048860070325705,Medium,Public,66.56729853080195
8.124349920169754,5.040591691203883,Medium,Public,69.74916271742751
11.03007053441732,4.298008312193245,Medium,Private,73.653392099309
11.027571901824418,4.337099082449052,High,Public,85.62302943527952
11.030095372612095,3.5973947282003067,Medium,Private,76.85492988651198
17.70546298130944,6.749576743186939,Medium,Public,95.61593755362438
11.141781021386334,3.7561367646087147,Low,Private,78.20663900975332
12.271131280361198,4.307094802204093,High,Private,77.42455469544034
11.908003526986406,4.281592734430802,Low,Private,88.05974375034917
11.302782502611596,5.8949243769444415,Low,Public,83.50308484473348
9.369461510719308,4.705050321707972,Medium,Public,75.9944511528903
11.517938440986535,6.247742072673734,High,Private,76.88120788523084
8.454349570924856,4.326509375756132,Medium,Public,67.58880074720268
9.526362786519982,5.278994162223802,High,Private,75.42667915834683
9.029272904341793,4.164652946740243,Low,Private,70.80556626093481
10.163748278772646,7.145149127773388,High,Public,75.70799852147262
14.629317133347017,3.812401580970487,Medium,Private,83.12244654029199
6.265469614816504,5.309820710227028,Medium,Public,69.41353015359411
11.372520380749027,5.633776880932098,Medium,Private,81.90463318519754
6.774568257620697,5.4137990974514985,High,Public,69.15023780454733
9.056136268421133,4.814712341122291,Low,Private,70.29633757522555
12.177901193934732,4.870179300266574,Low,Private,76.79646690831309
10.128560038190926,5.04381147197911,High,Public,83.88770093048146
7.844510444141388,4.852997998371511,Medium,Private,66.70972945403133
8.569392581480063,5.96387911679491,Low,Private,77.90051532960884
11.35919549786935,7.210523001591351,Medium,Public,86.13190714699772
8.539266736565727,4.442508214992166,High,Private,73.13591841644137
10.43291717916395,3.630197020420922,Medium,Public,85.15027518098518
10.091143679807628,4.911717951648745,Low,Private,80.05845925222688
8.696799304788366,7.579709337654318,Low,Public,87.97767785758145
14.28788817865065,4.196325432030269,Medium,Private,81.61494449577233
11.267838044636022,6.6391168054440675,High,Private,79.32462424797104
5.949714826684786,6.677700814076441,Medium,Private,74.55366666788431
10.372908629538856,4.4464117582920055,High,Public,76.10810670991971
8.676427070463223,5.5689830791852755,Medium,Public,84.13465588416443
11.704866669592448,6.628396623128538,Low,Public,85.06083019203238
8.4149585231346,4.620872259012513,High,Public,68.5383543355044
9.770527117066202,4.796419639897638,High,Private,68.05160165125872
11.009974557960915,4.418319086051357,High,Private,78.25623478328254
11.731510388340244,3.985243269307133,Low,Public,78.995270032975
7.599407185888447,4.350722454933993,Medium,Public,73.29372767071982
9.330997528318104,3.7760597332377435,Low,Public,80.37953752527234
9.050109377678087,5.034083468259226,High,Private,81.04691047771465
8.693341534852577,4.230026768941358,Medium,Public,70.83721806143504
13.530908480562193,5.233785911790748,Low,Public,78.4433988197884
10.80996342192191,3.444104353796373,High,Private,70.61547769949303
7.478232091329909,5.330880232214457,High,Private,69.26877600437462
11.835723894109552,5.833528961608924,Low,Public,80.58808349043738
14.244312394025266,3.0062643574285444,Low,Private,84.52333201901918
12.064930521102294,5.374056569847572,Low,Public,78.18610791249606
6.961260068091973,6.227668992473292,High,Private,74.66598348046047
9.031531854267497,3.7903589813087946,Low,Public,75.55880290979344
12.533822298373245,6.672572386837704,High,Public,85.79322258998249
8.584661068762438,5.419019009366045,Low,Public,69.65473566651046
10.887638856292456,4.294988144241591,High,Public,80.55689355512709
11.549268106858673,4.944230922342294,High,Private,90.9212307410644
8.146139056843834,5.558326912521722,Medium,Private,75.85925261703478
9.8809492878764,5.076005391412411,Low,Private,62.610531159615064
3.517465319861855,5.538755992446369,Low,Private,71.54746248862777
7.951224717331421,4.079326406920634,High,Public,68.50770016154686
9.49486369721368,5.169360824036078,High,Public,88.07233208295995
7.504433636070301,3.58628550309502,High,Private,70.97011278361295
13.26482260786327,4.888773938651299,Medium,Private,75.43930265377435
7.139717244078735,4.09609235853521,Medium,Private,60.100085576166535
9.119911026606033,4.264470057410233,High,Private,82.33523095270681
10.261481154572182,6.236093175210438,Low,Private,85.40662700154638
12.882546578132231,6.091310120594269,Low,Public,96.03215276598932
7.128275697641121,5.609138120907177,Medium,Public,72.72488100451078
12.32632750430992,3.907687235327421,Medium,Public,80.23153644471256
10.020466122039174,4.683591550305198,High,Private,75.15272560874337
8.036982697904097,6.213097699979183,Low,Private,72.10216073948087
10.92420694852654,5.141716913639905,High,Private,77.59884149522387
10.39811939114694,7.319329539981695,Medium,Private,82.86254975388658
8.79956624568241,5.3933178393943715,Low,Public,71.46960531589588
10.139604169980037,5.192049116490032,Low,Public,69.7208352803252
9.22937280627648,4.690883535797498,Medium,Private,76.29445408632009
10.227034690502496,5.133540904782282,High,Public,73.82340274471125
11.324261349042093,4.8475301636194565,High,Public,63.72262931881302
13.172033632290704,5.708108676688591,Low,Private,87.66906723289937
7.524369002346302,5.956702316794584,Medium,Private,68.44349628929935
14.266066749312532,4.21401053949205,Low,Private,88.1620965813168
6.095824400954996,3.668767046442222,Medium,Private,70.88403990415323
9.696429809928834,3.1637946268967037,High,Private,75.55650161781688
11.176634412969154,5.507991326912544,Medium,Private,93.0993450180896
10.561983735470065,3.8966333938261264,High,Public,76.27865831181744
8.754600960358813,2.847109407047517,Medium,Public,70.35166819379596
9.58375549928545,5.388578604530964,Low,Private,80.66874101245195
9.013998130682335,7.492999517432791,High,Public,78.9902587269449
8.821270486111576,4.993929088460106,Low,Private,80.93590229188335
11.69920419404205,5.838490774451642,Low,Private,75.81211501188395
10.714030971930095,5.081829358547565,High,Private,72.78993374435984
8.614180809478691,4.901110346808857,High,Private,78.40907459580175
11.799199750866501,5.9190764829877685,Low,Public,76.65295952952164
10.614599041753218,4.709725455811348,Low,Private,81.33927929943702
11.62572423767792,5.267392314071903,Low,Public,83.00255117751553
11.259257683847224,5.321697806196013,Low,Private,77.02862064685014
8.342009978155856,4.331909546356951,High,Private,75.01773507701431
8.879637919606061,5.992042349536523,High,Private,70.57437713459572
11.494587210246523,4.825040243304591,Low,Public,75.22723515413144
11.22074053086693,4.244254840507155,Medium,Private,77.62192463043426
9.958196812071703,5.536509843570403,Medium,Private,78.61579748486011
10.234654766617563,4.101532018208963,High,Private,75.10341487560929
12.555329791576849,5.028181157369128,Low,Public,84.81851113857296
8.81685722232834,4.990881003355796,Low,Public,77.06236802493183
11.094194762340075,6.085895565831578,High,Public,88.96406691516823
9.595614695132213,5.474698232879953,Medium,Private,76.92685000385933
9.564637593545559,4.974973041254856,Medium,Public,82.56455190489403
12.19755370397438,5.817766299200287,Medium,Private,87.72538442121865
11.65083269797606,6.390207549017314,High,Public,94.35686313594383
11.627019272001277,5.557810306351862,Medium,Public,80.95446390401898
12.610957614308658,5.01035261984338,High,Private,80.63565055111745
10.042007683265519,3.6881637676498404,High,Public,81.90473212922447
11.363905942589927,3.9348863369246274,Low,Private,80.5573042492731
9.379466486813088,4.694775295645332,Medium,Private,82.20939200101367
10.648332704976884,4.390487797840716,High,Public,81.46639109666233
9.73971389126463,4.813028697014554,Medium,Private,66.16516037105362
10.193991929985437,5.0566499248971075,Medium,Private,79.85456763247245
11.190314050873827,5.529692754356731,Low,Public,82.23124672304019
8.363558633533055,4.9295012219409085,Medium,Public,74.78690361229728
14.184774551370921,5.486501643826202,Low,Private,85.93808629786422
7.987965237000596,5.06447441481012,High,Public,65.61192445724473
7.571622774424536,3.0245334336461287,Medium,Private,74.05093028550988
12.316221747000135,4.060664606181246,High,Private,82.59228254373961
11.583325387925871,4.855912444278385,Medium,Public,85.96030292925643
11.24823963410431,3.7903052571588924,High,Public,70.48815953257069
11.25669101852856,5.599928729996204,Medium,Public,83.44894757977777
9.97550645430617,6.530750832343697,Medium,Public,78.57384246939507
8.205491257028337,6.218761851697317,Medium,Private,76.4580653412303
